record_index,message_index,fragment_role,rule,source_file,range_start,range_end,has_test_case,test_files,test_kind,test_suite,test_command,test_run_status,test_result_file,coverage_report,coverage_report_current,line_total_in_range,line_covered_in_range,line_coverage_pct,branch_side_total_in_range,branch_side_covered_in_range,branch_coverage_pct,function_total_overlapping_range,function_covered_overlapping_range,function_coverage_pct,overlapping_coverage_functions,note
1,1,original,@extrulesproject/code-clone-fragment-check,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/CarsTemplate/DriverLicenseExam/products/entry/src/main/ets/pages/mine/PersonalSetting.ets,71,91,yes,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/CarsTemplate/DriverLicenseExam/products/entry/src/ohosTest/ets/test/List.test.ets;/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/CarsTemplate/DriverLicenseExam/products/entry/src/ohosTest/ets/test/PersonalSetting.test.ets,instrument-test,PersonalSettingTest,hvigorw.js --no-daemon onDeviceTest -p module=entry -p coverage=true -p scope=PersonalSettingTest,passed_previous_run,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/CarsTemplate/DriverLicenseExam/products/entry/.test/default/intermediates/ohosTest/coverage_data/test_result.txt,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/CarsTemplate/DriverLicenseExam/products/entry/.test/default/outputs/ohosTest/reports/coverageReport.json,previous_2026-04-25_10:16:34,18,16,88.89,0,0,N/A,9,8,88.89,initialRender;anonymous_11;anonymous_13;anonymous_14;anonymous_15;anonymous_16;anonymous_17;anonymous_18;anonymous_19,not rerun in this request; retained from previous successful rerun
1,1,similar,@extrulesproject/code-clone-fragment-check,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/CarsTemplate/DriverLicenseExam/products/entry/src/main/ets/pages/mine/PersonalSetting.ets,93,113,yes,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/CarsTemplate/DriverLicenseExam/products/entry/src/ohosTest/ets/test/List.test.ets;/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/CarsTemplate/DriverLicenseExam/products/entry/src/ohosTest/ets/test/PersonalSetting.test.ets,instrument-test,PersonalSettingTest,hvigorw.js --no-daemon onDeviceTest -p module=entry -p coverage=true -p scope=PersonalSettingTest,passed_previous_run,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/CarsTemplate/DriverLicenseExam/products/entry/.test/default/intermediates/ohosTest/coverage_data/test_result.txt,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/CarsTemplate/DriverLicenseExam/products/entry/.test/default/outputs/ohosTest/reports/coverageReport.json,previous_2026-04-25_10:16:34,17,15,88.24,0,0,N/A,10,9,90.00,initialRender;anonymous_11;anonymous_13;anonymous_14;anonymous_15;anonymous_20;anonymous_21;anonymous_22;anonymous_23;anonymous_24,not rerun in this request; retained from previous successful rerun
2,1,original,@extrulesproject/code-clone-fragment-check,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/EducationTemplate/Exam/components/login_info/src/main/ets/components/QuickLogin.ets,311,370,yes,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/EducationTemplate/Exam/components/login_info/src/ohosTest/ets/test/List.test.ets;/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/EducationTemplate/Exam/components/login_info/src/ohosTest/ets/test/QuickLogin.test.ets,instrument-test,QuickLoginCoverTest,hvigorw.js --no-daemon onDeviceTest -p module=login_info -p coverage=true -p scope=QuickLoginCoverTest,passed,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/EducationTemplate/Exam/components/login_info/.test/default/intermediates/ohosTest/coverage_data/test_result.txt,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/EducationTemplate/Exam/components/login_info/.test/default/outputs/ohosTest/reports/coverageReport.json,yes_2026-04-25_10:37:01,46,32,69.57,12,3,25.00,20,18,90.00,CoverLogin;anonymous_27;anonymous_28;anonymous_29;anonymous_36;anonymous_40;anonymous_41;anonymous_42;anonymous_43;anonymous_44;anonymous_45;anonymous_46;anonymous_47;anonymous_48;anonymous_49;anonymous_50;anonymous_51;anonymous_52;anonymous_53;anonymous_55,
2,1,similar,@extrulesproject/code-clone-fragment-check,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/EducationTemplate/Exam/components/login_info/src/main/ets/components/QuickLogin.ets,453,510,yes,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/EducationTemplate/Exam/components/login_info/src/ohosTest/ets/test/List.test.ets;/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/EducationTemplate/Exam/components/login_info/src/ohosTest/ets/test/QuickLogin.test.ets,instrument-test,QuickLoginCoverTest,hvigorw.js --no-daemon onDeviceTest -p module=login_info -p coverage=true -p scope=QuickLoginCoverTest,passed,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/EducationTemplate/Exam/components/login_info/.test/default/intermediates/ohosTest/coverage_data/test_result.txt,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/EducationTemplate/Exam/components/login_info/.test/default/outputs/ohosTest/reports/coverageReport.json,yes_2026-04-25_10:37:01,43,0,0.00,12,0,0.00,20,0,0.00,DefaultLogin;anonymous_56;anonymous_57;anonymous_67;anonymous_68;anonymous_70;anonymous_71;anonymous_72;anonymous_73;anonymous_74;anonymous_75;anonymous_76;anonymous_77;anonymous_78;anonymous_79;anonymous_80;anonymous_81;anonymous_82;anonymous_83;anonymous_85,
3,1,original,@extrulesproject/code-clone-fragment-check,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/homePage/src/main/ets/model/PracticeMode.ets,19,139,yes,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/homePage/src/ohosTest/ets/test/List.test.ets;/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/homePage/src/ohosTest/ets/test/PracticeMode.test.ets,instrument-test,PracticeModeInstrumentTest,"hvigorw.js --no-daemon onDeviceTest -p module=homePage -p coverage=true -p scope=PracticeModeInstrumentTest,AuthenticationPageInstrumentTest",passed,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/homePage/.test/default/intermediates/ohosTest/coverage_data/test_result.txt,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/homePage/.test/default/outputs/ohosTest/reports/coverageReport.json,yes_2026-04-25_17:38:31,33,33,100.00,4,3,75.00,16,16,100.00,PracticeView.constructor;PracticeDataSource.constructor;PracticeDataSource.getData;PracticeDataSource.totalCount;PracticeDataSource.registerDataChangeListener;PracticeDataSource.unregisterDataChangeListener;PracticeDataSource.notifyDataReload;anonymous_0;PracticeDataSource.notifyDataAdd;anonymous_1;PracticeDataSource.notifyDataChange;anonymous_2;PracticeDataSource.notifyDataDelete;anonymous_3;PracticeDataSource.notifyDataMove;anonymous_4,rerun passed in combined homePage scope with AuthenticationPageInstrumentTest
3,1,similar,@extrulesproject/code-clone-fragment-check,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/topicPage/src/main/ets/viewModel/PracticeMode.ets,17,139,yes,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/topicPage/src/ohosTest/ets/test/List.test.ets;/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/topicPage/src/ohosTest/ets/test/PracticeMode.test.ets,instrument-test,PracticeModeInstrumentTest,hvigorw.js --no-daemon onDeviceTest -p module=topicPage -p coverage=true -p scope=PracticeModeInstrumentTest,passed,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/topicPage/.test/default/intermediates/ohosTest/coverage_data/test_result.txt,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/topicPage/.test/default/outputs/ohosTest/reports/coverageReport.json,yes_2026-04-25_17:30:58,33,33,100.00,4,3,75.00,16,16,100.00,PracticeMode.constructor;PracticeDataSource.constructor;PracticeDataSource.getData;PracticeDataSource.totalCount;PracticeDataSource.registerDataChangeListener;PracticeDataSource.unregisterDataChangeListener;PracticeDataSource.notifyDataReload;anonymous_0;PracticeDataSource.notifyDataAdd;anonymous_1;PracticeDataSource.notifyDataChange;anonymous_2;PracticeDataSource.notifyDataDelete;anonymous_3;PracticeDataSource.notifyDataMove;anonymous_4,rerun passed; previous missing dependency build failure did not reproduce
4,1,original,@extrulesproject/code-clone-fragment-check,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/homePage/src/main/ets/pages/AuthenticationPage.ets,1,71,yes,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/homePage/src/ohosTest/ets/test/AuthenticationPage.test.ets;/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/homePage/src/ohosTest/ets/test/List.test.ets,instrument-test,AuthenticationPageInstrumentTest,"hvigorw.js --no-daemon onDeviceTest -p module=homePage -p coverage=true -p scope=PracticeModeInstrumentTest,AuthenticationPageInstrumentTest",passed,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/homePage/.test/default/intermediates/ohosTest/coverage_data/test_result.txt,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/homePage/.test/default/outputs/ohosTest/reports/coverageReport.json,yes_2026-04-25_17:38:31,62,62,100.00,0,0,N/A,7,7,100.00,AuthenticationPageBuilder;anonymous_1;initialRender;anonymous_3;anonymous_4;anonymous_5;anonymous_6,rerun passed; previous missing host anchor did not reproduce
4,1,similar,@extrulesproject/code-clone-fragment-check,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/minePage/src/main/ets/views/AuthenticationPage.ets,1,71,yes,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/minePage/src/ohosTest/ets/test/AuthenticationPage.test.ets;/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/minePage/src/ohosTest/ets/test/List.test.ets,instrument-test,AuthenticationPageInstrumentTest,"hvigorw.js --no-daemon onDeviceTest -p module=minePage -p coverage=true -p scope=AuthenticationPageInstrumentTest,CollectionPageInstrumentTest,CoursePageInstrumentTest",passed,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/minePage/.test/default/intermediates/ohosTest/coverage_data/test_result.txt,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/minePage/.test/default/outputs/ohosTest/reports/coverageReport.json,yes_2026-04-25_17:39:16,59,57,96.61,0,0,N/A,7,5,71.43,AuthenticationPageBuilder;anonymous_1;initialRender;anonymous_3;anonymous_4;anonymous_5;anonymous_6,same-module test now exists and passed in combined minePage scope; hvigor emitted getInitCoverageData parse warning but wrote test_result and coverageReport
5,1,original,@extrulesproject/code-clone-fragment-check,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/minePage/src/main/ets/views/CollectionPage.ets,20,46,yes,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/minePage/src/ohosTest/ets/test/CollectionPage.test.ets;/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/minePage/src/ohosTest/ets/test/List.test.ets,instrument-test,CollectionPageInstrumentTest,"hvigorw.js --no-daemon onDeviceTest -p module=minePage -p coverage=true -p scope=AuthenticationPageInstrumentTest,CollectionPageInstrumentTest,CoursePageInstrumentTest",passed,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/minePage/.test/default/intermediates/ohosTest/coverage_data/test_result.txt,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/minePage/.test/default/outputs/ohosTest/reports/coverageReport.json,yes_2026-04-25_17:39:16,9,3,33.33,0,0,N/A,7,1,14.29,anonymous_1;anonymous_2;resetStateVarsOnReuse;anonymous_3;anonymous_4;anonymous_5;aboutToDisappear,rerun passed in combined minePage scope; hvigor emitted getInitCoverageData parse warning but wrote test_result and coverageReport
5,1,similar,@extrulesproject/code-clone-fragment-check,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/minePage/src/main/ets/views/CoursePage.ets,20,47,yes,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/minePage/src/ohosTest/ets/test/CoursePage.test.ets;/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/minePage/src/ohosTest/ets/test/List.test.ets,instrument-test,CoursePageInstrumentTest,"hvigorw.js --no-daemon onDeviceTest -p module=minePage -p coverage=true -p scope=AuthenticationPageInstrumentTest,CollectionPageInstrumentTest,CoursePageInstrumentTest",passed,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/minePage/.test/default/intermediates/ohosTest/coverage_data/test_result.txt,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/minePage/.test/default/outputs/ohosTest/reports/coverageReport.json,yes_2026-04-25_17:39:16,9,4,44.44,0,0,N/A,6,3,50.00,anonymous_1;resetStateVarsOnReuse;anonymous_2;aboutToDisappear;initialRender;anonymous_3,rerun passed in combined minePage scope; hvigor emitted getInitCoverageData parse warning but wrote test_result and coverageReport
